SPEC,LONG,LAT
Trufum,-95.924378,37.771275
Trufum,-81.53303,28.804409
Trufum,-94.2992,36.1032
Trufum,-85.953857,32.944019
Trufum,-85.48075,32.60983
Trufum,-85.3823,32.63933
Trufum,-85.48032,32.5929
Trufum,-85.54417,32.585296
Trufum,-85.51569,32.581745
Trufum,-85.475585,32.583985
Trufum,-85.13925,32.89041
Trufum,-85.46482,32.60135
Trufum,-85.953792,32.406385
Trufum,-88.3398,31.862501
Trufum,-75.60075,39.97774
Trufum,-75.50659,39.89675
Trufum,-75.517876,39.64734
Trufum,-81.51746,41.015521
Trufum,-90.134567,36.818334
Trufum,-90.50151,36.057224
Trufum,-90.0932,36.78865
Trufum,-89.770423,35.182545
Trufum,-80.896316,34.161986
Trufum,-80.896326,34.161953
Trufum,-80.896311,34.161957
Trufum,-85.679852,30.701116
Trufum,-85.63297,30.09429
Trufum,-85.226829,30.774389
Trufum,-85.81852,30.202242
Trufum,-85.21274,30.519188
Trufum,-85.227028,30.796909
Trufum,-78.96915,38.09903
Trufum,-91.92321,30.359005
Trufum,-94.967636,32.996925
Trufum,-76.718076,37.275726
Trufum,-76.86433,37.92495
Trufum,-85.44947,31.883093
Trufum,-80.77169,35.95574
Trufum,-80.84523,35.227415
Trufum,-87.56921,33.20982
Trufum,-75.23257,38.51641
Trufum,-81.20584,32.17339
Trufum,-73.955322,41.439701
Trufum,-73.29778,41.25278
Trufum,-73.4144,41.3711
Trufum,-73.0261,41.2783
Trufum,-73.3111,41.6314
Trufum,-73.0569,41.2222
Trufum,-73.9214,41.7003
Trufum,-73.206184,41.555706
Trufum,-73.67887,41.42546
Trufum,-82.18231,35.17046
Trufum,-81.759415,34.900135
Trufum,-84.941532,45.365192
Trufum,-84.074919,45.968774
Trufum,-84.790463,45.545162
Trufum,-76.391175,39.506222
Trufum,-86.225467,33.587024
Trufum,-86.995407,33.746309
Trufum,-86.92929,33.558678
Trufum,-95.30103,32.35125
Trufum,-82.244956,29.662031
Trufum,-82.337111,29.789175
Trufum,-82.238135,29.668498
